number,name,primary_type,secondary_type,total,hp,attack,defense,sp_atk,sp_def,speed,image_url
0201,Unown,Psychic,none,336,48,72,48,72,48,48,https://img.pokemondb.net/artwork/unown.jpg
0202,Wobbuffet,Psychic,none,405,190,33,58,33,58,33,https://img.pokemondb.net/artwork/wobbuffet.jpg
0203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,https://img.pokemondb.net/artwork/girafarig.jpg
0204,Pineco,Bug,none,290,50,65,90,35,35,15,https://img.pokemondb.net/artwork/pineco.jpg
0205,Forretress,Bug,Steel,465,75,90,140,60,60,40,https://img.pokemondb.net/artwork/forretress.jpg
0206,Dunsparce,Normal,none,415,100,70,70,65,65,45,https://img.pokemondb.net/artwork/dunsparce.jpg
0207,Gligar,Ground,Flying,430,65,75,105,35,65,85,https://img.pokemondb.net/artwork/gligar.jpg
0208,Steelix,Steel,Ground,510,75,85,200,55,65,30,https://img.pokemondb.net/artwork/steelix.jpg
0208,Steelix,Steel,Ground,610,75,125,230,55,95,30,https://img.pokemondb.net/artwork/steelix.jpg
0209,Snubbull,Fairy,none,300,60,80,50,40,40,30,https://img.pokemondb.net/artwork/snubbull.jpg
0210,Granbull,Fairy,none,450,90,120,75,60,60,45,https://img.pokemondb.net/artwork/granbull.jpg
0211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/artwork/qwilfish.jpg
0211,Qwilfish,Dark,Poison,440,65,95,85,55,55,85,https://img.pokemondb.net/artwork/qwilfish.jpg
0212,Scizor,Bug,Steel,500,70,130,100,55,80,65,https://img.pokemondb.net/artwork/scizor.jpg
0212,Scizor,Bug,Steel,600,70,150,140,65,100,75,https://img.pokemondb.net/artwork/scizor.jpg
0213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,https://img.pokemondb.net/artwork/shuckle.jpg
0214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,https://img.pokemondb.net/artwork/heracross.jpg
0214,Heracross,Bug,Fighting,600,80,185,115,40,105,75,https://img.pokemondb.net/artwork/heracross.jpg
0215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,https://img.pokemondb.net/artwork/sneasel.jpg
0215,Sneasel,Fighting,Poison,430,55,95,55,35,75,115,https://img.pokemondb.net/artwork/sneasel.jpg
0216,Teddiursa,Normal,none,330,60,80,50,50,50,40,https://img.pokemondb.net/artwork/teddiursa.jpg
0217,Ursaring,Normal,none,500,90,130,75,75,75,55,https://img.pokemondb.net/artwork/ursaring.jpg
0218,Slugma,Fire,none,250,40,40,40,70,40,20,https://img.pokemondb.net/artwork/slugma.jpg
0219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,https://img.pokemondb.net/artwork/magcargo.jpg
0220,Swinub,Ice,Ground,250,50,50,40,30,30,50,https://img.pokemondb.net/artwork/swinub.jpg
0221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,https://img.pokemondb.net/artwork/piloswine.jpg
0222,Corsola,Water,Rock,410,65,55,95,65,95,35,https://img.pokemondb.net/artwork/corsola.jpg
0222,Corsola,Ghost,none,410,60,55,100,65,100,30,https://img.pokemondb.net/artwork/corsola.jpg
0223,Remoraid,Water,none,300,35,65,35,65,35,65,https://img.pokemondb.net/artwork/remoraid.jpg
0224,Octillery,Water,none,480,75,105,75,105,75,45,https://img.pokemondb.net/artwork/octillery.jpg
0225,Delibird,Ice,Flying,330,45,55,45,65,45,75,https://img.pokemondb.net/artwork/delibird.jpg
0226,Mantine,Water,Flying,485,85,40,70,80,140,70,https://img.pokemondb.net/artwork/mantine.jpg
0227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,https://img.pokemondb.net/artwork/skarmory.jpg
0228,Houndour,Dark,Fire,330,45,60,30,80,50,65,https://img.pokemondb.net/artwork/houndour.jpg
0229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,https://img.pokemondb.net/artwork/houndoom.jpg
0229,Houndoom,Dark,Fire,600,75,90,90,140,90,115,https://img.pokemondb.net/artwork/houndoom.jpg
0230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,https://img.pokemondb.net/artwork/kingdra.jpg
0231,Phanpy,Ground,none,330,90,60,60,40,40,40,https://img.pokemondb.net/artwork/phanpy.jpg
0232,Donphan,Ground,none,500,90,120,120,60,60,50,https://img.pokemondb.net/artwork/donphan.jpg
0233,Porygon2,Normal,none,515,85,80,90,105,95,60,https://img.pokemondb.net/artwork/porygon2.jpg
0234,Stantler,Normal,none,465,73,95,62,85,65,85,https://img.pokemondb.net/artwork/stantler.jpg
0235,Smeargle,Normal,none,250,55,20,35,20,45,75,https://img.pokemondb.net/artwork/smeargle.jpg
0236,Tyrogue,Fighting,none,210,35,35,35,35,35,35,https://img.pokemondb.net/artwork/tyrogue.jpg
0237,Hitmontop,Fighting,none,455,50,95,95,35,110,70,https://img.pokemondb.net/artwork/hitmontop.jpg
0238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,https://img.pokemondb.net/artwork/smoochum.jpg
0239,Elekid,Electric,none,360,45,63,37,65,55,95,https://img.pokemondb.net/artwork/elekid.jpg
0240,Magby,Fire,none,365,45,75,37,70,55,83,https://img.pokemondb.net/artwork/magby.jpg
0241,Miltank,Normal,none,490,95,80,105,40,70,100,https://img.pokemondb.net/artwork/miltank.jpg
0242,Blissey,Normal,none,540,255,10,10,75,135,55,https://img.pokemondb.net/artwork/blissey.jpg
0243,Raikou,Electric,none,580,90,85,75,115,100,115,https://img.pokemondb.net/artwork/raikou.jpg
0244,Entei,Fire,none,580,115,115,85,90,75,100,https://img.pokemondb.net/artwork/entei.jpg
0245,Suicune,Water,none,580,100,75,115,90,115,85,https://img.pokemondb.net/artwork/suicune.jpg
0246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,https://img.pokemondb.net/artwork/larvitar.jpg
0247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,https://img.pokemondb.net/artwork/pupitar.jpg
0248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,https://img.pokemondb.net/artwork/tyranitar.jpg
0248,Tyranitar,Rock,Dark,700,100,164,150,95,120,71,https://img.pokemondb.net/artwork/tyranitar.jpg
0249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,https://img.pokemondb.net/artwork/lugia.jpg
0250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,https://img.pokemondb.net/artwork/ho-oh.jpg
0251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,https://img.pokemondb.net/artwork/celebi.jpg
0252,Treecko,Grass,none,310,40,45,35,65,55,70,https://img.pokemondb.net/artwork/treecko.jpg
0253,Grovyle,Grass,none,405,50,65,45,85,65,95,https://img.pokemondb.net/artwork/grovyle.jpg
0254,Sceptile,Grass,none,530,70,85,65,105,85,120,https://img.pokemondb.net/artwork/sceptile.jpg
0254,Sceptile,Grass,Dragon,630,70,110,75,145,85,145,https://img.pokemondb.net/artwork/sceptile.jpg
0255,Torchic,Fire,none,310,45,60,40,70,50,45,https://img.pokemondb.net/artwork/torchic.jpg
0256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,https://img.pokemondb.net/artwork/combusken.jpg
0257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,https://img.pokemondb.net/artwork/blaziken.jpg
0257,Blaziken,Fire,Fighting,630,80,160,80,130,80,100,https://img.pokemondb.net/artwork/blaziken.jpg
0258,Mudkip,Water,none,310,50,70,50,50,50,40,https://img.pokemondb.net/artwork/mudkip.jpg
0259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,https://img.pokemondb.net/artwork/marshtomp.jpg
0260,Swampert,Water,Ground,535,100,110,90,85,90,60,https://img.pokemondb.net/artwork/swampert.jpg
0260,Swampert,Water,Ground,635,100,150,110,95,110,70,https://img.pokemondb.net/artwork/swampert.jpg
0261,Poochyena,Dark,none,220,35,55,35,30,30,35,https://img.pokemondb.net/artwork/poochyena.jpg
0262,Mightyena,Dark,none,420,70,90,70,60,60,70,https://img.pokemondb.net/artwork/mightyena.jpg
0263,Zigzagoon,Normal,none,240,38,30,41,30,41,60,https://img.pokemondb.net/artwork/zigzagoon.jpg
0263,Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,https://img.pokemondb.net/artwork/zigzagoon.jpg
0264,Linoone,Normal,none,420,78,70,61,50,61,100,https://img.pokemondb.net/artwork/linoone.jpg
0264,Linoone,Dark,Normal,420,78,70,61,50,61,100,https://img.pokemondb.net/artwork/linoone.jpg
0265,Wurmple,Bug,none,195,45,45,35,20,30,20,https://img.pokemondb.net/artwork/wurmple.jpg
0266,Silcoon,Bug,none,205,50,35,55,25,25,15,https://img.pokemondb.net/artwork/silcoon.jpg
0267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,https://img.pokemondb.net/artwork/beautifly.jpg
0268,Cascoon,Bug,none,205,50,35,55,25,25,15,https://img.pokemondb.net/artwork/cascoon.jpg
0269,Dustox,Bug,Poison,385,60,50,70,50,90,65,https://img.pokemondb.net/artwork/dustox.jpg
0270,Lotad,Water,Grass,220,40,30,30,40,50,30,https://img.pokemondb.net/artwork/lotad.jpg
0271,Lombre,Water,Grass,340,60,50,50,60,70,50,https://img.pokemondb.net/artwork/lombre.jpg
0272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,https://img.pokemondb.net/artwork/ludicolo.jpg
0273,Seedot,Grass,none,220,40,40,50,30,30,30,https://img.pokemondb.net/artwork/seedot.jpg
0274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,https://img.pokemondb.net/artwork/nuzleaf.jpg
0275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,https://img.pokemondb.net/artwork/shiftry.jpg
0276,Taillow,Normal,Flying,270,40,55,30,30,30,85,https://img.pokemondb.net/artwork/taillow.jpg
0277,Swellow,Normal,Flying,455,60,85,60,75,50,125,https://img.pokemondb.net/artwork/swellow.jpg
0278,Wingull,Water,Flying,270,40,30,30,55,30,85,https://img.pokemondb.net/artwork/wingull.jpg
0279,Pelipper,Water,Flying,440,60,50,100,95,70,65,https://img.pokemondb.net/artwork/pelipper.jpg
0280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,https://img.pokemondb.net/artwork/ralts.jpg
0281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,https://img.pokemondb.net/artwork/kirlia.jpg
0282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,https://img.pokemondb.net/artwork/gardevoir.jpg
0282,Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,https://img.pokemondb.net/artwork/gardevoir.jpg
0283,Surskit,Bug,Water,269,40,30,32,50,52,65,https://img.pokemondb.net/artwork/surskit.jpg
0284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,https://img.pokemondb.net/artwork/masquerain.jpg
0285,Shroomish,Grass,none,295,60,40,60,40,60,35,https://img.pokemondb.net/artwork/shroomish.jpg
0286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,https://img.pokemondb.net/artwork/breloom.jpg
0287,Slakoth,Normal,none,280,60,60,60,35,35,30,https://img.pokemondb.net/artwork/slakoth.jpg
0288,Vigoroth,Normal,none,440,80,80,80,55,55,90,https://img.pokemondb.net/artwork/vigoroth.jpg
0289,Slaking,Normal,none,670,150,160,100,95,65,100,https://img.pokemondb.net/artwork/slaking.jpg
0290,Nincada,Bug,Ground,266,31,45,90,30,30,40,https://img.pokemondb.net/artwork/nincada.jpg
0291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,https://img.pokemondb.net/artwork/ninjask.jpg
0292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,https://img.pokemondb.net/artwork/shedinja.jpg
0293,Whismur,Normal,none,240,64,51,23,51,23,28,https://img.pokemondb.net/artwork/whismur.jpg
0294,Loudred,Normal,none,360,84,71,43,71,43,48,https://img.pokemondb.net/artwork/loudred.jpg
0295,Exploud,Normal,none,490,104,91,63,91,73,68,https://img.pokemondb.net/artwork/exploud.jpg
0296,Makuhita,Fighting,none,237,72,60,30,20,30,25,https://img.pokemondb.net/artwork/makuhita.jpg
0297,Hariyama,Fighting,none,474,144,120,60,40,60,50,https://img.pokemondb.net/artwork/hariyama.jpg
0298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,https://img.pokemondb.net/artwork/azurill.jpg
0299,Nosepass,Rock,none,375,30,45,135,45,90,30,https://img.pokemondb.net/artwork/nosepass.jpg
0300,Skitty,Normal,none,260,50,45,45,35,35,50,https://img.pokemondb.net/artwork/skitty.jpg
0301,Delcatty,Normal,none,400,70,65,65,55,55,90,https://img.pokemondb.net/artwork/delcatty.jpg
0302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,https://img.pokemondb.net/artwork/sableye.jpg
0302,Sableye,Dark,Ghost,480,50,85,125,85,115,20,https://img.pokemondb.net/artwork/sableye.jpg
0303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,https://img.pokemondb.net/artwork/mawile.jpg
0303,Mawile,Steel,Fairy,480,50,105,125,55,95,50,https://img.pokemondb.net/artwork/mawile.jpg
0304,Aron,Steel,Rock,330,50,70,100,40,40,30,https://img.pokemondb.net/artwork/aron.jpg
0305,Lairon,Steel,Rock,430,60,90,140,50,50,40,https://img.pokemondb.net/artwork/lairon.jpg
0306,Aggron,Steel,Rock,530,70,110,180,60,60,50,https://img.pokemondb.net/artwork/aggron.jpg
0306,Aggron,Steel,none,630,70,140,230,60,80,50,https://img.pokemondb.net/artwork/aggron.jpg
0307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,https://img.pokemondb.net/artwork/meditite.jpg
0308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,https://img.pokemondb.net/artwork/medicham.jpg
0308,Medicham,Fighting,Psychic,510,60,100,85,80,85,100,https://img.pokemondb.net/artwork/medicham.jpg
0309,Electrike,Electric,none,295,40,45,40,65,40,65,https://img.pokemondb.net/artwork/electrike.jpg
0310,Manectric,Electric,none,475,70,75,60,105,60,105,https://img.pokemondb.net/artwork/manectric.jpg
0310,Manectric,Electric,none,575,70,75,80,135,80,135,https://img.pokemondb.net/artwork/manectric.jpg
0311,Plusle,Electric,none,405,60,50,40,85,75,95,https://img.pokemondb.net/artwork/plusle.jpg
0312,Minun,Electric,none,405,60,40,50,75,85,95,https://img.pokemondb.net/artwork/minun.jpg
0313,Volbeat,Bug,none,430,65,73,75,47,85,85,https://img.pokemondb.net/artwork/volbeat.jpg
0314,Illumise,Bug,none,430,65,47,75,73,85,85,https://img.pokemondb.net/artwork/illumise.jpg
0315,Roselia,Grass,Poison,400,50,60,45,100,80,65,https://img.pokemondb.net/artwork/roselia.jpg
0316,Gulpin,Poison,none,302,70,43,53,43,53,40,https://img.pokemondb.net/artwork/gulpin.jpg
0317,Swalot,Poison,none,467,100,73,83,73,83,55,https://img.pokemondb.net/artwork/swalot.jpg
0318,Carvanha,Water,Dark,305,45,90,20,65,20,65,https://img.pokemondb.net/artwork/carvanha.jpg
0319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,https://img.pokemondb.net/artwork/sharpedo.jpg
0319,Sharpedo,Water,Dark,560,70,140,70,110,65,105,https://img.pokemondb.net/artwork/sharpedo.jpg
0320,Wailmer,Water,none,400,130,70,35,70,35,60,https://img.pokemondb.net/artwork/wailmer.jpg
0321,Wailord,Water,none,500,170,90,45,90,45,60,https://img.pokemondb.net/artwork/wailord.jpg
0322,Numel,Fire,Ground,305,60,60,40,65,45,35,https://img.pokemondb.net/artwork/numel.jpg
0323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,https://img.pokemondb.net/artwork/camerupt.jpg
0323,Camerupt,Fire,Ground,560,70,120,100,145,105,20,https://img.pokemondb.net/artwork/camerupt.jpg
0324,Torkoal,Fire,none,470,70,85,140,85,70,20,https://img.pokemondb.net/artwork/torkoal.jpg
0325,Spoink,Psychic,none,330,60,25,35,70,80,60,https://img.pokemondb.net/artwork/spoink.jpg
0326,Grumpig,Psychic,none,470,80,45,65,90,110,80,https://img.pokemondb.net/artwork/grumpig.jpg
0327,Spinda,Normal,none,360,60,60,60,60,60,60,https://img.pokemondb.net/artwork/spinda.jpg
0328,Trapinch,Ground,none,290,45,100,45,45,45,10,https://img.pokemondb.net/artwork/trapinch.jpg
0329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,https://img.pokemondb.net/artwork/vibrava.jpg
0330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,https://img.pokemondb.net/artwork/flygon.jpg
0331,Cacnea,Grass,none,335,50,85,40,85,40,35,https://img.pokemondb.net/artwork/cacnea.jpg
0332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,https://img.pokemondb.net/artwork/cacturne.jpg
0333,Swablu,Normal,Flying,310,45,40,60,40,75,50,https://img.pokemondb.net/artwork/swablu.jpg
0334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,https://img.pokemondb.net/artwork/altaria.jpg
0334,Altaria,Dragon,Fairy,590,75,110,110,110,105,80,https://img.pokemondb.net/artwork/altaria.jpg
0335,Zangoose,Normal,none,458,73,115,60,60,60,90,https://img.pokemondb.net/artwork/zangoose.jpg
0336,Seviper,Poison,none,458,73,100,60,100,60,65,https://img.pokemondb.net/artwork/seviper.jpg
0337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,https://img.pokemondb.net/artwork/lunatone.jpg
0338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,https://img.pokemondb.net/artwork/solrock.jpg
0339,Barboach,Water,Ground,288,50,48,43,46,41,60,https://img.pokemondb.net/artwork/barboach.jpg
0340,Whiscash,Water,Ground,468,110,78,73,76,71,60,https://img.pokemondb.net/artwork/whiscash.jpg
0341,Corphish,Water,none,308,43,80,65,50,35,35,https://img.pokemondb.net/artwork/corphish.jpg
0342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55,https://img.pokemondb.net/artwork/crawdaunt.jpg
0343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55,https://img.pokemondb.net/artwork/baltoy.jpg
0344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,https://img.pokemondb.net/artwork/claydol.jpg
0345,Lileep,Rock,Grass,355,66,41,77,61,87,23,https://img.pokemondb.net/artwork/lileep.jpg
0346,Cradily,Rock,Grass,495,86,81,97,81,107,43,https://img.pokemondb.net/artwork/cradily.jpg
0347,Anorith,Rock,Bug,355,45,95,50,40,50,75,https://img.pokemondb.net/artwork/anorith.jpg
0348,Armaldo,Rock,Bug,495,75,125,100,70,80,45,https://img.pokemondb.net/artwork/armaldo.jpg
0349,Feebas,Water,none,200,20,15,20,10,55,80,https://img.pokemondb.net/artwork/feebas.jpg
0350,Milotic,Water,none,540,95,60,79,100,125,81,https://img.pokemondb.net/artwork/milotic.jpg
0351,Castform,Normal,none,420,70,70,70,70,70,70,https://img.pokemondb.net/artwork/castform.jpg
0351,Castform,Fire,none,420,70,70,70,70,70,70,https://img.pokemondb.net/artwork/castform.jpg
0351,Castform,Water,none,420,70,70,70,70,70,70,https://img.pokemondb.net/artwork/castform.jpg
0351,Castform,Ice,none,420,70,70,70,70,70,70,https://img.pokemondb.net/artwork/castform.jpg
0352,Kecleon,Normal,none,440,60,90,70,60,120,40,https://img.pokemondb.net/artwork/kecleon.jpg
0353,Shuppet,Ghost,none,295,44,75,35,63,33,45,https://img.pokemondb.net/artwork/shuppet.jpg
0354,Banette,Ghost,none,455,64,115,65,83,63,65,https://img.pokemondb.net/artwork/banette.jpg
0354,Banette,Ghost,none,555,64,165,75,93,83,75,https://img.pokemondb.net/artwork/banette.jpg
0355,Duskull,Ghost,none,295,20,40,90,30,90,25,https://img.pokemondb.net/artwork/duskull.jpg
0356,Dusclops,Ghost,none,455,40,70,130,60,130,25,https://img.pokemondb.net/artwork/dusclops.jpg
0357,Tropius,Grass,Flying,460,99,68,83,72,87,51,https://img.pokemondb.net/artwork/tropius.jpg
0358,Chimecho,Psychic,none,455,75,50,80,95,90,65,https://img.pokemondb.net/artwork/chimecho.jpg
0359,Absol,Dark,none,465,65,130,60,75,60,75,https://img.pokemondb.net/artwork/absol.jpg
0359,Absol,Dark,none,565,65,150,60,115,60,115,https://img.pokemondb.net/artwork/absol.jpg
0360,Wynaut,Psychic,none,260,95,23,48,23,48,23,https://img.pokemondb.net/artwork/wynaut.jpg
0361,Snorunt,Ice,none,300,50,50,50,50,50,50,https://img.pokemondb.net/artwork/snorunt.jpg
0362,Glalie,Ice,none,480,80,80,80,80,80,80,https://img.pokemondb.net/artwork/glalie.jpg
0362,Glalie,Ice,none,580,80,120,80,120,80,100,https://img.pokemondb.net/artwork/glalie.jpg
0363,Spheal,Ice,Water,290,70,40,50,55,50,25,https://img.pokemondb.net/artwork/spheal.jpg
0364,Sealeo,Ice,Water,410,90,60,70,75,70,45,https://img.pokemondb.net/artwork/sealeo.jpg
0365,Walrein,Ice,Water,530,110,80,90,95,90,65,https://img.pokemondb.net/artwork/walrein.jpg
0366,Clamperl,Water,none,345,35,64,85,74,55,32,https://img.pokemondb.net/artwork/clamperl.jpg
0367,Huntail,Water,none,485,55,104,105,94,75,52,https://img.pokemondb.net/artwork/huntail.jpg
0368,Gorebyss,Water,none,485,55,84,105,114,75,52,https://img.pokemondb.net/artwork/gorebyss.jpg
0369,Relicanth,Water,Rock,485,100,90,130,45,65,55,https://img.pokemondb.net/artwork/relicanth.jpg
0370,Luvdisc,Water,none,330,43,30,55,40,65,97,https://img.pokemondb.net/artwork/luvdisc.jpg
0371,Bagon,Dragon,none,300,45,75,60,40,30,50,https://img.pokemondb.net/artwork/bagon.jpg
0372,Shelgon,Dragon,none,420,65,95,100,60,50,50,https://img.pokemondb.net/artwork/shelgon.jpg
0373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,https://img.pokemondb.net/artwork/salamence.jpg
0373,Salamence,Dragon,Flying,700,95,145,130,120,90,120,https://img.pokemondb.net/artwork/salamence.jpg
0374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,https://img.pokemondb.net/artwork/beldum.jpg
0375,Metang,Steel,Psychic,420,60,75,100,55,80,50,https://img.pokemondb.net/artwork/metang.jpg
0376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,https://img.pokemondb.net/artwork/metagross.jpg
0376,Metagross,Steel,Psychic,700,80,145,150,105,110,110,https://img.pokemondb.net/artwork/metagross.jpg
0377,Regirock,Rock,none,580,80,100,200,50,100,50,https://img.pokemondb.net/artwork/regirock.jpg
0378,Regice,Ice,none,580,80,50,100,100,200,50,https://img.pokemondb.net/artwork/regice.jpg
0379,Registeel,Steel,none,580,80,75,150,75,150,50,https://img.pokemondb.net/artwork/registeel.jpg
0380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,https://img.pokemondb.net/artwork/latias.jpg
0380,Latias,Dragon,Psychic,700,80,100,120,140,150,110,https://img.pokemondb.net/artwork/latias.jpg
0381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,https://img.pokemondb.net/artwork/latios.jpg
0381,Latios,Dragon,Psychic,700,80,130,100,160,120,110,https://img.pokemondb.net/artwork/latios.jpg
0382,Kyogre,Water,none,670,100,100,90,150,140,90,https://img.pokemondb.net/artwork/kyogre.jpg
0382,Kyogre,Water,none,770,100,150,90,180,160,90,https://img.pokemondb.net/artwork/kyogre.jpg
0383,Groudon,Ground,none,670,100,150,140,100,90,90,https://img.pokemondb.net/artwork/groudon.jpg
0383,Groudon,Ground,Fire,770,100,180,160,150,90,90,https://img.pokemondb.net/artwork/groudon.jpg
0384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,https://img.pokemondb.net/artwork/rayquaza.jpg
0384,Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,https://img.pokemondb.net/artwork/rayquaza.jpg
0385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,https://img.pokemondb.net/artwork/jirachi.jpg
0386,Deoxys,Psychic,none,600,50,150,50,150,50,150,https://img.pokemondb.net/artwork/deoxys-normal.jpg
0386,Deoxys,Psychic,none,600,50,180,20,180,20,150,https://img.pokemondb.net/artwork/deoxys-normal.jpg
0386,Deoxys,Psychic,none,600,50,70,160,70,160,90,https://img.pokemondb.net/artwork/deoxys-normal.jpg
0386,Deoxys,Psychic,none,600,50,95,90,95,90,180,https://img.pokemondb.net/artwork/deoxys-normal.jpg
0387,Turtwig,Grass,none,318,55,68,64,45,55,31,https://img.pokemondb.net/artwork/turtwig.jpg
0388,Grotle,Grass,none,405,75,89,85,55,65,36,https://img.pokemondb.net/artwork/grotle.jpg
0389,Torterra,Grass,Ground,525,95,109,105,75,85,56,https://img.pokemondb.net/artwork/torterra.jpg
0390,Chimchar,Fire,none,309,44,58,44,58,44,61,https://img.pokemondb.net/artwork/chimchar.jpg
0391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,https://img.pokemondb.net/artwork/monferno.jpg
0392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,https://img.pokemondb.net/artwork/infernape.jpg
0393,Piplup,Water,none,314,53,51,53,61,56,40,https://img.pokemondb.net/artwork/piplup.jpg
0394,Prinplup,Water,none,405,64,66,68,81,76,50,https://img.pokemondb.net/artwork/prinplup.jpg
0395,Empoleon,Water,Steel,530,84,86,88,111,101,60,https://img.pokemondb.net/artwork/empoleon.jpg
0396,Starly,Normal,Flying,245,40,55,30,30,30,60,https://img.pokemondb.net/artwork/starly.jpg
0397,Staravia,Normal,Flying,340,55,75,50,40,40,80,https://img.pokemondb.net/artwork/staravia.jpg
0398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,https://img.pokemondb.net/artwork/staraptor.jpg
0399,Bidoof,Normal,none,250,59,45,40,35,40,31,https://img.pokemondb.net/artwork/bidoof.jpg
0400,Bibarel,Normal,Water,410,79,85,60,55,60,71,https://img.pokemondb.net/artwork/bibarel.jpg
0401,Kricketot,Bug,none,194,37,25,41,25,41,25,https://img.pokemondb.net/artwork/kricketot.jpg
0402,Kricketune,Bug,none,384,77,85,51,55,51,65,https://img.pokemondb.net/artwork/kricketune.jpg
0403,Shinx,Electric,none,263,45,65,34,40,34,45,https://img.pokemondb.net/artwork/shinx.jpg
0404,Luxio,Electric,none,363,60,85,49,60,49,60,https://img.pokemondb.net/artwork/luxio.jpg
0405,Luxray,Electric,none,523,80,120,79,95,79,70,https://img.pokemondb.net/artwork/luxray.jpg
0406,Budew,Grass,Poison,280,40,30,35,50,70,55,https://img.pokemondb.net/artwork/budew.jpg
0407,Roserade,Grass,Poison,515,60,70,65,125,105,90,https://img.pokemondb.net/artwork/roserade.jpg
0408,Cranidos,Rock,none,350,67,125,40,30,30,58,https://img.pokemondb.net/artwork/cranidos.jpg
0409,Rampardos,Rock,none,495,97,165,60,65,50,58,https://img.pokemondb.net/artwork/rampardos.jpg
0410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,https://img.pokemondb.net/artwork/shieldon.jpg
0411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,https://img.pokemondb.net/artwork/bastiodon.jpg
0412,Burmy,Bug,none,224,40,29,45,29,45,36,https://img.pokemondb.net/artwork/burmy-plant.jpg
0412,Burmy,Bug,none,224,40,29,45,29,45,36,https://img.pokemondb.net/artwork/burmy-plant.jpg
0412,Burmy,Bug,none,224,40,29,45,29,45,36,https://img.pokemondb.net/artwork/burmy-plant.jpg
0413,Wormadam,Bug,Grass,424,60,59,85,79,105,36,https://img.pokemondb.net/artwork/wormadam-plant.jpg
0413,Wormadam,Bug,Ground,424,60,79,105,59,85,36,https://img.pokemondb.net/artwork/wormadam-plant.jpg
0413,Wormadam,Bug,Steel,424,60,69,95,69,95,36,https://img.pokemondb.net/artwork/wormadam-plant.jpg
0414,Mothim,Bug,Flying,424,70,94,50,94,50,66,https://img.pokemondb.net/artwork/mothim.jpg
0415,Combee,Bug,Flying,244,30,30,42,30,42,70,https://img.pokemondb.net/artwork/combee.jpg
